"budget","revenue","runtime","vote_average","vote_count","ru","net.revenue","ratio","ratio_indicator","studio_unclass","actor_unclass","genre_unclass"
26362749.31,201420845.3,"121","6.647","4138","FALSE",175058095.99,6.640358102695929,"Profit",5,6,1
1043051.004,87616284.3,"132","7.2","7456","FALSE",86573233.296,82.99999996548587,"Profit",5,6,1
65068527.69,209517836.8,"106","6.323","2661","FALSE",144449309.11,2.2199566247785194,"Profit",5,6,1
36139070.93,77851733.45,"152","8.5","28452","FALSE",41712662.52,1.154226200247257,"Profit",1,7,1
36689449.58,44396801.17,"165","7.77","20071","FALSE",7707351.590000004,0.21006997047460213,"No.Profit",1,7,1
72585812.23,94737287.03,"143","6.838","2692","FALSE",22151474.799999997,0.30517637151747273,"No.Profit",1,7,1
62927683.14,8852267.503,"127","6.5","1852","FALSE",-54075415.637,0.8593263399940264,"No.Profit",1,7,1
25000000,331091,"124","6.603","9496","FALSE",-24668909,0.98675636,"No.Profit",2,7,1
55774219.55,116196290.7,"110","6.498","6167","FALSE",60422071.150000006,1.0833333328103918,"Profit",2,7,1
8233286.042,52274832.01,"107","5.7","837","FALSE",44041545.967999995,5.349206348878604,"Profit",3,7,1
43771653.92,21887544,"124","6.3","1391","FALSE",-21884109.92,0.49996077278681,"No.Profit",4,7,1
13594642.15,25175263.24,"97","5.838","565","FALSE",11580621.089999998,0.851851851797364,"No.Profit",4,7,1
20229907.21,139270167.4,"104","6.3","1477","FALSE",119040260.19,5.884370054409161,"Profit",4,7,1
139435548.9,1524495334,"125","5.7","1487","FALSE",1385059785.1,9.933333328743398,"Profit",4,7,1
209099328,1062966079,"95","5.5","814","FALSE",853866751,4.08354612693925,"Profit",1,8,1
61900214.02,11001260.55,"170","7.9","5804","FALSE",-50898953.47,0.8222742728087259,"No.Profit",1,8,1
14603865.8,3452277.359,"126","7.2","837","FALSE",-11151588.441,0.763605239442833,"No.Profit",2,8,1
110183482.7,42302357.33,"105","6.8","1503","FALSE",-67881125.37,0.6160735139841428,"No.Profit",1,9,1
31066603.46,153191667.1,"99","6.1","433","FALSE",122125063.63999999,3.931072278218083,"Profit",1,9,1
14934605.58,373365139.5,"124","6.3","1545","FALSE",358430533.92,24,"Profit",2,9,1
2221680.36,1871416.769,"111","6.2","1258","FALSE",-350263.5909999998,0.15765705873188698,"No.Profit",2,9,1
889105.5999,2042723.672,"128","6.594","4978","FALSE",1153618.0721,1.297503999783322,"Profit",3,9,1
160039008,651006082.8,"131","7.752","9412","FALSE",490967074.79999995,3.0677962887647987,"Profit",3,9,1
37802792.02,542654945,"116","6.3","1084","FALSE",504852152.98,13.354890631170898,"Profit",3,9,1
32829213.09,9340175.689,"124","6.911","4845","FALSE",-23489037.401,0.71549194117464,"No.Profit",3,9,1
8654666.812,26121358.01,"128","7.235","5185","FALSE",17466691.198,2.0181818176734216,"Profit",3,9,1
110545.941,2133159.7,"98","5.3","5673","FALSE",2022613.759,18.2965900032458,"Profit",3,9,1
12575753.01,46873261.2,"110","5.6","4964","FALSE",34297508.190000005,2.7272727257546547,"Profit",4,9,1
114252881.2,193557822.3,"106","5.5","2637","FALSE",79304941.10000001,0.6941176473368447,"No.Profit",5,9,1
22094928.65,44541280.09,"126","7.5","9225","FALSE",22446351.440000005,1.0159051335067337,"Profit",5,9,1
4846390.139,259064.4062,"111","6.423","731","FALSE",-4587325.7328,0.9465448717974126,"No.Profit",2,10,1
994131.3106,646185.3519,"131","6.474","1283","FALSE",-347945.95869999996,0.3499999999899409,"No.Profit",1,11,1
26208788.29,104835153.1,"116","7.096","6673","FALSE",78626364.81,2.9999999977106917,"Profit",1,11,1
45826749.35,36661399.48,"129","7.127","9219","FALSE",-9165349.870000005,0.2000000000000001,"No.Profit",1,11,1
432628.6589,17645076.29,"129","7.193","12512","FALSE",17212447.6311,39.78573142811275,"Profit",1,11,1
3776855.104,2158202.916,"143","7.706","27614","FALSE",-1618652.1879999996,0.42857142872272597,"No.Profit",7,11,1
377322247.3,2965371900,"141","7.288","20484","FALSE",2588049652.7,6.858990349016719,"Profit",7,11,1
100421155,254534761.6,"149","8.266","25594","FALSE",154113606.6,1.5346727151266084,"Profit",7,11,1
8142221.833,298957.959,"133","7.36","19201","FALSE",-7843263.874,0.9632830000051904,"No.Profit",7,11,1
20633404.67,27539332.06,"124","6.833","18499","FALSE",6905927.389999997,0.334696454630238,"No.Profit",7,11,1
323730437.4,2208100176,"181","8.278","21851","FALSE",1884369738.6,5.82079879091406,"Profit",7,11,1
8851598.311,11931552.07,"130","6.93","19961","FALSE",3079953.7589999996,0.34795453327027953,"No.Profit",7,11,1
31612193.52,23721688.41,"114","6.206","10182","FALSE",-7890505.109999999,0.24960321418404374,"No.Profit",7,11,1
16039362.27,19186709.05,"154","7.559","5817","FALSE",3147346.780000001,0.19622642889529307,"No.Profit",1,12,1
25000000,331091,"124","6.603","9496","FALSE",-24668909,0.98675636,"No.Profit",2,12,1
40168462.01,92453034.78,"145","7.333","7368","FALSE",52284572.77,1.3016324288687897,"Profit",3,12,1
8311530.597,7830706.889,"107","6.7","730","FALSE",-480823.70799999963,0.05785020007909857,"No.Profit",3,12,1
29546905.95,44320358.93,"131","8.351","4420","FALSE",14773452.98,0.5000000001692225,"No.Profit",4,12,1
4536380.735,6513777.466,"107","6.3","1180","FALSE",1977396.7309999997,0.4358974359765681,"No.Profit",4,12,1
201622731.6,535616831.1,"133","7","8539","FALSE",333994099.5,1.6565299797773398,"Profit",4,12,1
15916965.06,14544126.82,"123","6.107","5510","FALSE",-1372838.2400000002,0.08625000022460313,"No.Profit",4,12,1
171487541,780515980.6,"110","7","7325","FALSE",609028439.6,3.5514442393223193,"Profit",4,12,1
68676388.69,155106802.8,"130","6.579","6033","FALSE",86430414.11000001,1.2585171666515598,"Profit",4,12,1
